STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
672150,99999, 20090203,   83.2,19,   76.4,19, 1011.1, 6, 9999.9, 0,   8.9,19,   9.7,14,  13.0, 999.9,   87.1*,  77.2 , 0.00I,999.9, 000010,
672150,99999, 20090204,   81.2,15,   76.2,15, 1011.1, 5, 9999.9, 0,   8.7,15,   5.9, 8,  11.1, 999.9,   86.0*,  78.8*,99.99 ,999.9, 010010,
672150,99999, 20090205,   78.2,18,   75.3,18, 1011.5, 6, 9999.9, 0,   9.0,18,   5.4,14,   9.9, 999.9,   88.7 ,  75.2*, 0.02E,999.9, 010010,
672150,99999, 20090206,   79.2,19,   74.1,19, 1010.3, 7, 9999.9, 0,   9.1,19,   8.0,15,  13.0, 999.9,   88.7 ,  73.0 , 0.16G,999.9, 010010,
672150,99999, 20090207,   79.7,15,   73.1,15, 1008.8, 6, 9999.9, 0,   9.0,15,   7.8,12,  15.0, 999.9,   87.8*,  73.2 , 0.04G,999.9, 010010,
672150,99999, 20090208,   79.4,19,   73.7,19, 1009.2, 8, 9999.9, 0,  10.1,19,   5.9,17,   9.9, 999.9,   85.5 ,  72.7 , 0.20G,999.9, 000010,
672150,99999, 20090209,   78.8,18,   73.1,18, 1012.2, 7, 9999.9, 0,   8.8,17,   4.8,16,  13.0, 999.9,   84.2*,  75.2*, 0.00G,999.9, 010000,
672150,99999, 20090210,   77.9,19,   72.7,19, 1013.5, 8, 9999.9, 0,   8.9,19,   7.6,19,  16.9, 999.9,   88.9 ,  73.4*, 0.12G,999.9, 010010,
672150,99999, 20090211,   79.8,23,   71.8,23, 1012.9, 7, 9999.9, 0,   9.2,23,   5.7,23,  12.0, 999.9,   90.3 ,  73.4 , 0.94G,999.9, 000010,
672150,99999, 20090212,   77.6,22,   72.1,22, 1012.6, 7, 9999.9, 0,   8.8,21,   4.6,22,  11.1, 999.9,   86.0 ,  73.4*, 0.00G,999.9, 010010,
