year,week,district,precipitation
2011,44,NAMAACHA,12.8081588745117
2011,45,BOANE,3.92860436439514
2011,45,MAGUDE,9.05751085281372
2011,45,MANHICA,9.31130170822144
2011,45,MARRACUENE,7.42703652381897
2011,45,MATOLA,6.07915878295898
2011,45,MATUTUINE,7.96170973777771
2011,45,MOAMBA,5.48419964313507
2011,45,NAMAACHA,4.26938629150391
2011,46,BOANE,0
2011,46,MAGUDE,0
2011,46,MANHICA,0
2011,46,MARRACUENE,0
2011,46,MATOLA,0
2011,46,MATUTUINE,0
2011,46,MOAMBA,0
2011,46,NAMAACHA,0
2011,47,BOANE,26.7329506874084
2011,47,MAGUDE,22.8317499160767
2011,47,MANHICA,20.1993126869202
2011,47,MARRACUENE,21.5388231277466
2011,47,MATOLA,20.3696632385254
2011,47,MATUTUINE,26.4005110263824
2011,47,MOAMBA,24.3720088005066
2011,47,NAMAACHA,29.9104888439178
2011,48,BOANE,9.45796775817871
2011,48,MAGUDE,12.8903169631958
2011,48,MANHICA,12.1309823989868
2011,48,MARRACUENE,14.546000957489
2011,48,MATOLA,8.10780119895935
2011,48,MATUTUINE,17.6731476783752
2011,48,MOAMBA,3.74899959564209
2011,48,NAMAACHA,12.7072019577026
2011,49,BOANE,0
2011,49,MAGUDE,0
2011,49,MANHICA,0
2011,49,MARRACUENE,0
2011,49,MATOLA,0
2011,49,MATUTUINE,0
2011,49,MOAMBA,0
2011,49,NAMAACHA,1.19582688808441
2011,50,BOANE,6.89008760452271
2011,50,MAGUDE,0
